                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2761,                 2.4717,                 1.4738,                0.46909,                0.54798,                0.47087,                0.29668,                 1.2813,                 1.7845,                 1.4418,             0.00036972,             0.00036972,             0.00036972
                      2,                 1.3848,                 2.1706,                 1.5728,                0.38688,                0.44909,                0.34169,                0.19007,                 1.5615,                 2.2458,                 1.6879,              0.0007254,              0.0007254,              0.0007254
                      3,                 1.4171,                 2.0909,                  1.595,                0.47056,                0.45055,                0.42915,                0.24256,                 1.4586,                 1.9834,                 1.6686,              0.0010664,              0.0010664,              0.0010664
                      4,                 1.3895,                 1.9924,                 1.5859,                0.54501,                0.54147,                0.51543,                0.30704,                 1.4026,                 1.6721,                 1.5676,               0.001045,               0.001045,               0.001045
                      5,                 1.3492,                 1.8935,                 1.5532,                0.54423,                0.52176,                0.51721,                0.33392,                 1.3611,                 1.6224,                 1.5336,               0.001023,               0.001023,               0.001023
                      6,                 1.3169,                 1.8079,                 1.5253,                0.56558,                0.58812,                0.56286,                0.36314,                 1.3037,                 1.5107,                 1.4793,               0.001001,               0.001001,               0.001001
                      7,                 1.2806,                 1.7502,                 1.5023,                0.67182,                0.56279,                0.59549,                0.39448,                  1.254,                 1.4779,                 1.4526,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.2677,                 1.6698,                 1.4802,                0.65221,                0.56651,                0.61638,                0.40806,                   1.24,                 1.3666,                 1.4019,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.2484,                 1.6285,                  1.471,                0.64918,                0.57373,                0.62462,                0.42818,                 1.2272,                  1.354,                 1.4193,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.2213,                 1.6002,                 1.4487,                0.67697,                  0.584,                0.62731,                0.42554,                  1.221,                 1.3278,                 1.4137,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.2062,                 1.5552,                 1.4405,                0.63282,                0.60428,                0.63616,                0.44335,                 1.1826,                 1.2674,                 1.3838,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.1976,                 1.5118,                 1.4231,                0.68414,                0.60703,                0.64615,                0.44462,                 1.2026,                 1.2495,                 1.3901,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.1873,                 1.4788,                 1.4152,                0.64646,                0.64434,                0.65819,                0.45421,                 1.1683,                 1.2058,                  1.368,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.1731,                 1.4627,                 1.4014,                0.63881,                0.59881,                0.65227,                0.45091,                 1.1791,                 1.2342,                 1.3836,             0.00082503,             0.00082503,             0.00082503
                     15,                  1.158,                 1.4283,                 1.3895,                0.70167,                 0.6294,                0.67243,                 0.4718,                 1.1443,                 1.1883,                 1.3477,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.1486,                 1.3969,                 1.3851,                0.59303,                0.64359,                0.64436,                 0.4359,                 1.1681,                 1.2581,                 1.3698,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.1397,                 1.3782,                 1.3806,                0.67991,                 0.5885,                 0.6565,                0.46038,                 1.1411,                 1.2001,                 1.3402,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.1297,                   1.36,                 1.3653,                0.64211,                0.65752,                0.68019,                0.49351,                 1.1297,                 1.1656,                 1.3272,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.1197,                 1.3339,                 1.3578,                0.65184,                0.64599,                0.69072,                0.48894,                 1.1169,                 1.1337,                   1.32,             0.00071504,             0.00071504,             0.00071504
                     20,                  1.114,                 1.3208,                 1.3617,                0.72547,                0.64018,                0.69757,                0.50269,                 1.1058,                 1.1204,                 1.3048,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.1081,                 1.2968,                 1.3531,                0.67866,                0.64004,                0.69165,                0.49091,                 1.1333,                 1.0953,                 1.3226,             0.00067104,             0.00067104,             0.00067104
                     22,                  1.086,                 1.2731,                 1.3362,                0.70495,                0.62855,                0.69129,                 0.4861,                 1.1172,                 1.1632,                 1.3192,             0.00064905,             0.00064905,             0.00064905
                     23,                  1.087,                 1.2553,                 1.3321,                0.70797,                0.64293,                0.69316,                0.49363,                 1.1142,                 1.0995,                 1.3017,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.0846,                 1.2282,                  1.325,                0.69565,                0.62284,                0.68849,                0.49308,                 1.1035,                  1.103,                 1.3058,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.0765,                   1.22,                 1.3208,                0.70393,                0.64129,                0.69456,                0.49324,                  1.101,                 1.0823,                 1.3019,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.0661,                 1.1966,                 1.3145,                0.70634,                0.64762,                0.70421,                0.49954,                 1.1136,                  1.096,                 1.3054,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.0556,                 1.1908,                 1.3081,                0.67497,                0.66542,                0.70312,                0.50275,                 1.1071,                  1.088,                 1.3018,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.0442,                 1.1649,                 1.2956,                0.67388,                0.68633,                0.71327,                0.51137,                 1.0959,                  1.086,                 1.2934,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.0461,                 1.1461,                 1.2979,                0.68317,                0.65435,                0.69954,                0.50977,                 1.0554,                 1.0882,                  1.255,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.0404,                 1.1393,                 1.2887,                0.67107,                 0.6829,                0.69904,                0.50613,                 1.0855,                 1.0761,                 1.2807,             0.00047306,             0.00047306,             0.00047306
                     31,                 1.0238,                 1.1252,                 1.2834,                0.72399,                0.63207,                0.70606,                0.51384,                  1.083,                 1.0754,                 1.2757,             0.00045107,             0.00045107,             0.00045107
                     32,                 1.0225,                 1.1136,                 1.2772,                0.70348,                0.65404,                0.70441,                0.50867,                 1.0703,                 1.0732,                 1.2692,             0.00042907,             0.00042907,             0.00042907
                     33,                 1.0076,                 1.1005,                 1.2737,                 0.7395,                0.63364,                0.71677,                0.52089,                 1.0582,                 1.0331,                 1.2534,             0.00040707,             0.00040707,             0.00040707
                     34,                 1.0085,                 1.0797,                 1.2691,                0.69565,                 0.6732,                0.72154,                0.52198,                 1.0638,                 1.0316,                 1.2562,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.0043,                 1.0755,                 1.2664,                0.69856,                0.63156,                0.70974,                0.51286,                 1.0755,                 1.0538,                 1.2686,             0.00036307,             0.00036307,             0.00036307
                     36,                0.98298,                 1.0409,                 1.2532,                0.67194,                0.66412,                0.70347,                0.51342,                 1.0638,                 1.0387,                 1.2572,             0.00034108,             0.00034108,             0.00034108
